Sample,He,err He,Ne,err Ne,Ar,err Ar,Kr,err Kr,Xe,err Xe,p,S,T init,A init
BE_TB532,1.20E-07,9.85E-10,2.49E-07,2.98E-09,0.000451186,4.51E-06,1.01E-07,1.42E-09,1.42E-08,2.54E-10,0.9976,0.432,1.00E+00,1.00E-05
BE_MW901,9.57E-07,8.70E-09,2.76E-07,3.31E-09,0.000476781,4.85E-06,1.08E-07,1.51E-09,1.61E-08,2.94E-10,0.9976,0.504,1.00E+00,1.00E-05
BE_VZELE,3.90E-06,3.12E-08,2.30E-07,2.76E-09,0.000448638,4.49E-06,1.07E-07,1.49E-09,1.55E-08,2.74E-10,0.9976,1.115,1.00E+00,1.00E-05
BE_GD034,4.73E-06,3.78E-08,2.24E-07,2.69E-09,0.000429382,4.29E-06,1.03E-07,1.44E-09,1.50E-08,2.67E-10,0.9976,1.763,1.00E+00,1.00E-05
BE_GROEDE,1.28E-05,1.02E-07,2.20E-07,2.63E-09,0.000419987,4.20E-06,9.65E-08,1.35E-09,1.33E-08,2.36E-10,0.9976,4.438,1.00E+00,1.00E-05
BE_1,2.72E-07,1.92E-09,2.69E-07,3.45E-09,0.000487938,5.05E-06,1.10E-07,1.65E-09,1.55E-08,2.22E-10,0.9976,0.619,1.00E+00,1.00E-05
BE_2,3.08E-07,2.18E-09,2.61E-07,3.36E-09,0.000481505,5.01E-06,1.09E-07,1.65E-09,1.55E-08,2.22E-10,0.9976,0.574,1.00E+00,1.00E-05
BE_3,8.16E-07,5.76E-09,2.78E-07,3.57E-09,0.000475783,4.97E-06,1.07E-07,1.67E-09,1.49E-08,2.13E-10,0.9976,0.567,1.00E+00,1.00E-05
BE_4,1.39E-06,9.83E-09,2.75E-07,3.54E-09,0.000489589,5.05E-06,1.10E-07,1.67E-09,1.53E-08,2.18E-10,0.9976,0.601,1.00E+00,1.00E-05
BE_5,8.69E-07,6.14E-09,2.23E-07,2.87E-09,0.000434415,4.57E-06,1.01E-07,1.56E-09,1.42E-08,2.03E-10,0.9976,0.637,1.00E+00,1.00E-05
BE_6,2.43E-06,1.71E-08,2.56E-07,3.29E-09,0.00053012,5.52E-06,1.28E-07,1.96E-09,1.87E-08,2.67E-10,0.9976,0.512,1.00E+00,1.00E-05
BE_6new,2.49E-06,1.74E-08,2.60E-07,3.18E-09,0.000524458,5.24E-06,1.31E-07,1.83E-09,1.90E-08,2.66E-10,0.9976,0.476,1.00E+00,1.00E-05
BE_7,2.15E-06,1.52E-08,2.35E-07,3.03E-09,0.000487722,5.06E-06,1.20E-07,1.81E-09,1.84E-08,2.62E-10,0.9976,0.482,1.00E+00,1.00E-05
BE_7new,2.18E-06,1.52E-08,2.30E-07,2.85E-09,0.000483534,4.84E-06,1.23E-07,1.72E-09,1.87E-08,2.62E-10,0.9976,0.447,1.00E+00,1.00E-05
