,A0,AR,AL,A1,B0,B1,B2,C0
He,-177.81861228194632,217.15950200682255,140.4293309041285,-22.960996363402025,-0.03852270481446142,0.019463158711989573,-0.0027370728977891786,-2.5653329072539624e-06
He err,47.13505303936662,64.16187962337564,44.27851957877336,7.63361810948312,0.013028231629664834,0.009013078901761371,0.0015566484312961315,1.9867266027637727e-06
Ne,-274.20469664199953,352.7192746446423,227.02274955946268,-37.141215766772795,-0.06397851537218475,0.03540603605897952,-0.0053393276439391135,1.283712805762202e-05
Ne err,69.07265807170891,94.02723118346738,64.8658889903202,11.179326274163243,0.01963199688556903,0.013586536212565293,0.0023474382550248865,3.017668755066423e-06
Ar,-228.2523935550738,306.5121593654572,181.27578412674137,-28.124204109254734,-0.0666701876318223,0.037010701514500824,-0.00560332012721227,-5.297809295741783e-06
Ar err,30.86367060770517,42.0140044828831,28.987843068182332,4.996657238517169,0.008918779310744899,0.00618328439042948,0.0010702637090185423,1.3795456766620956e-06
Kr,-122.76306682607525,153.96298195586542,70.49455876122657,-8.580543248321293,-0.04960002503990353,0.024491796051434738,-0.0034074668183559716,4.190394055667283e-06
Kr err,89.68708673364638,122.08907267760789,84.22620676072269,14.516305333220473,0.026123952546887756,0.01810734840023992,0.003133231459304588,3.898484829034362e-06
Xe,-225.33547024938233,293.94747133771364,158.38579597286852,-22.801804474831762,-0.08500659783442788,0.048056757583904805,-0.007369716182423971,6.695112488417448e-06
Xe err,27.225261416890014,37.060999069796196,25.567606453707032,4.406550997033112,0.007984530598755155,0.0055254296359764235,0.0009545558924058282,1.183094311278935e-06
