,A0,AR,AL,B0,BR,BL
He,-41.23024852794719,42.264727440321714,13.900157999665531,-13.819213357405804,20.792984253719343,6.463788580809212
He err,1.2060255820574248,1.7346118388455092,0.5706500038901542,5.511751522527741,8.025848071241736,2.579873865364094
Ne,-88.89456380051138,113.43785666439042,35.7186561989698,-24.824200041343623,37.17405343610619,11.537752447018622
Ne err,1.9667041808764647,2.8276303929576376,0.931261905919176,3.48085127433799,5.050784188509396,1.63457716702436
Ar,-57.67905248472901,74.78129193503055,20.14620665448185,-8.373797160476249,13.866292274791594,3.723826134741716
Ar err,2.280076188268769,3.3039303296984395,1.071714038543359,3.139937490236439,4.570189031458122,1.4705939462920492
Kr,-66.63990523288717,90.5073017056981,24.054460920053582,-7.7357143067836285,13.071004226766613,3.3966464112136543
Kr err,1.7129464098051201,2.4827575494360006,0.8046050589920544,3.332877796106641,4.849420249221,1.56129324450436
Xe,-75.35399013564748,106.08128189759105,27.760944627808477,-5.722018997516995,10.397325750690712,2.390952930636913
Xe err,3.616612131924588,5.223160932021719,1.7058088770712978,4.078934845783666,5.934626744587108,1.910798324980569
